"248","Phoenix1"
"249","Team Liquid"
"250","Apex Gaming"
"251","Immortals"
"252","Counter Logic Gaming"
"253","Counter Logic Gaming"
"254","Immortals"
"255","Team Liquid"
"256","Team Liquid"
"257","Team SoloMid"
"258","Cloud9"
"259","Team SoloMid"
"260","Team Liquid"
"261","Cloud9"
"262","Team Liquid"
"263","Cloud9"
"264","Team SoloMid"
"265","Team EnVyUs"
"266","Immortals"
"267","Team EnVyUs"
"268","Team SoloMid"
"269","Cloud9"
"270","Phoenix1"
"271","Team SoloMid"
"272","Cloud9"
"273","Team SoloMid"
"274","Counter Logic Gaming"
"275","NRG Esports"
"276","Counter Logic Gaming"
"277","Team Liquid"
"278","NRG Esports"
"279","Team EnVyUs"
"280","Apex Gaming"
"281","Team EnVyUs"
"282","Immortals"
"283","Immortals"
"284","NRG Esports"
"285","Cloud9"
"286","Cloud9"
"287","Echo Fox"
"288","Immortals"
"289","Apex Gaming"
"290","Immortals"
"291","Counter Logic Gaming"
"292","Team SoloMid"
"293","Apex Gaming"
"294","Team SoloMid"
"295","Team EnVyUs"
"296","Apex Gaming"
"297","Team EnVyUs"
"298","Apex Gaming"
"299","Immortals"
"300","Echo Fox"
"301","Cloud9"
"302","Echo Fox"
"303","Immortals"
"304","Team EnVyUs"
"305","NRG Esports"
"306","Team EnVyUs"
"307","Team SoloMid"
"308","Team SoloMid"
"309","G2 Esports"
"310","Giants Gaming"
"311","Origen"
"312","Team Vitality"
"313","H2k-Gaming"
"314","G2 Esports"
"315","Team ROCCAT"
"316","Unicorns Of Love"
"317","Elements"
"318","Origen"
"319","Origen"
"320","H2k-Gaming"
"321","Team Vitality"
"322","Elements"
"323","G2 Esports"
"324","Splyce"
"325","G2 Esports"
"326","Origen"
"327","H2k-Gaming"
"328","Fnatic"
"329","Team Vitality"
"330","Fnatic"
"331","Unicorns Of Love"
"332","H2k-Gaming"
"333","G2 Esports"
"334","Team ROCCAT"
"335","Origen"
"336","H2k-Gaming"
"337","Team Vitality"
"338","G2 Esports"
"339","G2 Esports"
"340","Splyce"
"341","H2k-Gaming"
"342","Team Vitality"
"343","Giants Gaming"
"344","Team Vitality"
"345","Fnatic"
"346","Unicorns Of Love"
"347","Team ROCCAT"
"348","Origen"
"349","Splyce"
"350","Elements"
"351","G2 Esports"
"352","Unicorns Of Love"
"353","Team Vitality"
"354","Giants Gaming"
"355","Team Vitality"
"356","Origen"
"357","Fnatic"
"358","H2k-Gaming"
"359","Fnatic"
"360","Origen"
"361","Unicorns Of Love"
"362","H2k-Gaming"
"363","G2 Esports"
"364","H2k-Gaming"
"365","Unicorns Of Love"
"366","G2 Esports"
"367","Fnatic"
"368","Team Vitality"
"369","H2k-Gaming"
"370","Fnatic"
"371","G2 Esports"
"372","Team Vitality"
"373","Origen"
"374","H2k-Gaming"
"375","Unicorns Of Love"
"376","G2 Esports"
"377","Origen"
"378","Splyce"
"379","H2k-Gaming"
"380","Splyce"
"381","Unicorns Of Love"
"382","Elements"
"383","Team Vitality"
"384","Fnatic"
"385","Team Vitality"
"386","Origen"
"387","Elements"
"388","G2 Esports"
"389","G2 Esports"
"390","H2k-Gaming"
"391","Team Vitality"
"392","Elements"
"393","Unicorns Of Love"
"394","Team ROCCAT"
"395","Unicorns Of Love"
"396","H2k-Gaming"
"397","G2 Esports"
"398","Fnatic"
"399","H2k-Gaming"
"400","G2 Esports"
"401","Team Vitality"
"402","G2 Esports"
"403","H2k-Gaming"
"404","Unicorns Of Love"
"405","Unicorns Of Love"
"406","H2k-Gaming"
"407","Giants Gaming"
"408","FC Schalke 04"
"409","Team Vitality"
"410","Giants Gaming"
"411","H2k-Gaming"
"412","H2k-Gaming"
"413","FC Schalke 04"
"414","Splyce"
"415","Giants Gaming"
"416","Splyce"
"417","Team ROCCAT"
"418","Team Vitality"
"419","Fnatic"
"420","G2 Esports"
"421","Fnatic"
"422","Origen"
"423","Unicorns Of Love"
"424","G2 Esports"
"425","Unicorns Of Love"
"426","G2 Esports"
"427","Giants Gaming"
"428","Splyce"
"429","Giants Gaming"
"430","Splyce"
"431","Team ROCCAT"
"432","Team ROCCAT"
"433","Giants Gaming"
"434","G2 Esports"
"435","Giants Gaming"
"436","G2 Esports"
"437","Splyce"
"438","H2k-Gaming"
"439","H2k-Gaming"
"440","Splyce"
"441","Origen"
"442","Origen"
"443","G2 Esports"
"444","Fnatic"
"445","G2 Esports"
"446","FC Schalke 04"
"447","Splyce"
"448","Unicorns Of Love"
"449","Team Vitality"
"450","Splyce"
"451","Fnatic"
"452","Fnatic"
"453","FC Schalke 04"
"454","Team Vitality"
"455","Origen"
"456","Team Vitality"
"457","G2 Esports"
"458","Unicorns Of Love"
"459","Unicorns Of Love"
"460","Splyce"
"461","Splyce"
"462","Splyce"
"463","Giants Gaming"
"464","G2 Esports"
"465","Giants Gaming"
"466","G2 Esports"
"467","Unicorns Of Love"
"468","Team Vitality"
"469","Team Vitality"
"470","Fnatic"
"471","H2k-Gaming"
"472","H2k-Gaming"
"473","G2 Esports"
"474","Splyce"
"475","Giants Gaming"
"476","Splyce"
"477","Fnatic"
"478","Unicorns Of Love"
"479","Fnatic"
"480","Unicorns Of Love"
"481","Giants Gaming"
"482","Giants Gaming"
"483","G2 Esports"
"484","Splyce"
"485","Splyce"
"486","Origen"
"487","H2k-Gaming"
"488","FC Schalke 04"
"489","Unicorns Of Love"
"490","Team ROCCAT"
"491","G2 Esports"
"492","G2 Esports"
"493","H2k-Gaming"
"494","FC Schalke 04"
"495","Origen"
"496","Team Vitality"
"497","Giants Gaming"
"498","Splyce"
"499","Giants Gaming"
"500","Unicorns Of Love"
"501","Origen"
"502","Splyce"
"503","Unicorns Of Love"
"504","Team Vitality"
"505","Unicorns Of Love"
"506","G2 Esports"
"507","Fnatic"
"508","FC Schalke 04"
"509","FC Schalke 04"
"510","Fnatic"
"511","H2k-Gaming"
"512","Splyce"
"513","Origen"
"514","Team ROCCAT"
"515","Fnatic"
"516","Unicorns Of Love"
"517","FC Schalke 04"
"518","Giants Gaming"
"519","Team Vitality"
"520","G2 Esports"
"521","Giants Gaming"
"522","Giants Gaming"
"523","H2k-Gaming"
"524","Fnatic"
"525","H2k-Gaming"
"526","Fnatic"
"527","FC Schalke 04"
"528","G2 Esports"
"529","G2 Esports"
"530","FC Schalke 04"
"531","Splyce"
"532","Splyce"
"533","G2 Esports"
"534","Team Vitality"
"535","H2k-Gaming"
"536","Team Vitality"
"537","Fnatic"
"538","Origen"
"539","Fnatic"
"540","Origen"
"541","Origen"
"542","FC Schalke 04"
"543","Giants Gaming"
"544","H2k-Gaming"
