2016 TCL Summer Season,4,5056,Team AURORA
2016 TCL Summer Season,5,1643,Crew e-Sports Club
2016 TCL Summer Season,6,809,Team Turqauality
2016 TCL Winter Season,1,,SuperMassive eSports
2016 TCL Winter Season,2,,Besiktas OH
2016 TCL Winter Season,3,,Team AURORA
2016 TCL Winter Season,4,,Dark Passage
2016 TCL Winter Season,5,,HWA Gaming
2016 TCL Winter Season,6,,Team Turquality
2016 World Championship,1,2028000,SK Telecom T1
2016 World Championship,10,114075,ahq e-Sports Club
2016 World Championship,11,114075,Team SoloMid
2016 World Championship,12,114075,I May
2016 World Championship,13,63375,G2 Esports
2016 World Championship,14,63375,INTZ e-Sports
2016 World Championship,15,63375,Splyce
2016 World Championship,16,63375,Flash Wolves
2016 World Championship,2,760500,Samsung Galaxy
2016 World Championship,3,380250,ROX Tigers
2016 World Championship,4,380250,H2k-Gaming
2016 World Championship,5,202800,Cloud9
2016 World Championship,6,202800,Royal Never Give Up
2016 World Championship,7,202800,EDward Gaming
2016 World Championship,8,202800,Albus NoX Luna
2016 World Championship,9,114075,Counter Logic Gaming
2017 LAN Closing Cup,2,,Just Toys Havoks
2018 LAN Closing Cup,3,,Zaga Talent Gaming
2019 LAN Closing Cup,4,,Galactic Gamers
