"19","Matt","Braum"
"19","Piglet","Lucian"
"19","Stixxay","Kalista"
"19","Xmithie","Gragas"
"20","Adrian","Soraka"
"20","Altec","Sivir"
"20","GBM","Twisted Fate"
"20","Huni","Gangplank"
"20","Impact","Poppy"
"20","KonKwon","Braum"
"20","Moon (Galen Holgate)","Elise"
"20","Pobelter","Corki"
"20","Reignover","Rek'Sai"
"20","WildTurtle","Lucian"
"21","Balls","Trundle"
"21","Crumbz","Elise"
"21","Freeze","Kog'Maw"
"21","Hai","Morgana"
"21","Hakuho","Braum"
"21","Jensen","Varus"
"21","Ninja","Zilean"
"21","Rush","Gragas"
"21","Seraph","Graves"
"21","Sneaky","Corki"
"22","Adrian","Soraka"
"22","BIG","Alistar"
"22","Froggen","Twisted Fate"
"22","Hard","Elise"
"22","Huni","Pantheon"
"22","KEITH","Lucian"
"22","Kfo","Fiora"
"22","Pobelter","Syndra"
"22","Reignover","Gragas"
"22","WildTurtle","Ezreal"
"23","AlexIch","Lissandra"
"23","Apollo (Apollo Price)","Kog'Maw"
"23","BillyBoss","Poppy"
"23","Crumbz","Nidalee"
"23","Freeze","Lucian"
"23","Hakuho","Nautilus"
"23","KiWiKiD","Braum"
"23","Kirei","Gragas"
"23","Seraph","Graves"
"23","Shiphtur","Viktor"
"24","Bjergsen","Orianna"
"24","Dardoch","Lee Sin"
"24","Doublelift","Ezreal"
"24","FeniX","Lulu"
"24","Hauntzer","Gangplank"
"24","Lourlo","Nautilus"
"24","Matt","Janna"
"24","Piglet","Lucian"
"24","Svenskeren","Elise"
"24","YellOwStaR","Alistar"
"25","Aphromoo","Bard"
"25","Balls","Lulu"
"25","Darshan","Jax"
"25","Hai","Alistar"
"25","Huhi","Corki"
"25","Jensen","LeBlanc"
"25","Rush","Lee Sin"
"25","Sneaky","Lucian"
"25","Stixxay","Ezreal"
"25","Xmithie","Udyr"
"26","Feng (Wang Xiao-Feng)","Nautilus"
"26","GBM","Orianna"
"26","Gate","Bard"
