Team Dignitas,NA,Kog'Maw,27
NRG Esports,NA,Lulu,28
NRG Esports,NA,Corki,28
NRG Esports,NA,Gragas,28
Renegades,NA,Nidalee,28
Renegades,NA,Gangplank,28
Renegades,NA,Kindred,28
Immortals,NA,Kalista,29
Immortals,NA,Lulu,29
Immortals,NA,Corki,29
Counter Logic Gaming,NA,Nidalee,29
Counter Logic Gaming,NA,Kog'Maw,29
Counter Logic Gaming,NA,Twisted Fate,29
Echo Fox,NA,Kog'Maw,30
Echo Fox,NA,Twisted Fate,30
Echo Fox,NA,Fiora,30
Team SoloMid,NA,Kayle,30
Team SoloMid,NA,Nidalee,30
Team SoloMid,NA,Lulu,30
Team Impulse,NA,Poppy,31
Team Impulse,NA,Gragas,31
Team Impulse,NA,Lulu,31
Team Liquid,NA,Graves,31
Team Liquid,NA,Braum,31
Team Liquid,NA,Kalista,31
Team Liquid,NA,Fiora,32
Team Liquid,NA,Gangplank,32
Team Liquid,NA,Soraka,32
Immortals,NA,Nidalee,32
Immortals,NA,Kog'Maw,32
Immortals,NA,Lulu,32
Team Impulse,NA,Malphite,33
Team Impulse,NA,Kalista,33
Team Impulse,NA,Fiora,33
Echo Fox,NA,Graves,33
Echo Fox,NA,Kog'Maw,33
Echo Fox,NA,Nidalee,33
NRG Esports,NA,Gangplank,34
NRG Esports,NA,Malphite,34
NRG Esports,NA,Kalista,34
Cloud9,NA,Fiora,34
Cloud9,NA,Kog'Maw,34
Cloud9,NA,Nidalee,34
Team Dignitas,NA,Fiora,35
Team Dignitas,NA,Kalista,35
Team Dignitas,NA,Gangplank,35
Team SoloMid,NA,Elise,35
Team SoloMid,NA,Nidalee,35
Team SoloMid,NA,Kog'Maw,35
Renegades,NA,Fiora,36
Renegades,NA,LeBlanc,36
Renegades,NA,Nidalee,36
Counter Logic Gaming,NA,Kalista,36
Counter Logic Gaming,NA,Kog'Maw,36
Counter Logic Gaming,NA,Lulu,36
Team Liquid,NA,LeBlanc,37
Team Liquid,NA,Kayle,37
Team Liquid,NA,Gangplank,37
Echo Fox,NA,Kog'Maw,37
Echo Fox,NA,Kalista,37
Echo Fox,NA,Nidalee,37
Counter Logic Gaming,NA,Graves,38
Counter Logic Gaming,NA,Nautilus,38
Counter Logic Gaming,NA,Kog'Maw,38
Team Impulse,NA,Kalista,38
Team Impulse,NA,Fiora,38
Team Impulse,NA,Lulu,38
Team SoloMid,NA,Nidalee,39
Team SoloMid,NA,Orianna,39
Team SoloMid,NA,Malphite,39
Cloud9,NA,Lulu,39
Cloud9,NA,Fiora,39
Cloud9,NA,Lissandra,39
Renegades,NA,Fiora,40
Renegades,NA,Nidalee,40
Renegades,NA,Gangplank,40
Immortals,NA,Kalista,40
Immortals,NA,Kog'Maw,40
Immortals,NA,Lulu,40
NRG Esports,NA,Corki,41
NRG Esports,NA,Elise,41
NRG Esports,NA,Malphite,41
Team Dignitas,NA,Fiora,41
Team Dignitas,NA,Gangplank,41
Team Dignitas,NA,Kog'Maw,41
Team Dignitas,NA,Alistar,42
Team Dignitas,NA,Gangplank,42
Team Dignitas,NA,Lulu,42
Team Impulse,NA,Elise,42
Team Impulse,NA,Kalista,42
Team Impulse,NA,Fiora,42
