2016 LAS Closing Cup,2,,Isurus Gaming
2016 LAS Closing Cup,3,,Hafnet eSports
2016 LAS Closing Cup,4,,Furious Gaming
2016 TCL Winter Season,1,,SuperMassive eSports
2016 TCL Winter Season,2,,Besiktas OH
2016 TCL Winter Season,3,,Team AURORA
2016 TCL Winter Season,4,,Dark Passage
2016 TCL Winter Season,5,,HWA Gaming
2016 TCL Winter Season,6,,Team Turquality
2016 TCL Summer Season,1,"31,602",Dark Passage
2016 TCL Summer Season,2,"15,801",SuperMassive
2016 TCL Summer Season,3,"5,056",HWA Gaming
2016 TCL Summer Season,4,"5,056",Team AURORA
2016 TCL Summer Season,5,"1,643",Crew e-Sports Club
2016 TCL Summer Season,6,809,Team Turqauality
2016 OPL Split 1,1,16000,Chiefs Esports Club
2016 OPL Split 1,2,8000,Legacy Esports
2016 OPL Split 1,3,4000,Dire Wolves
2016 OPL Split 1,4,4000,Sin Gaming
2016 OPL Split 2,1,12346,Chiefs Esports Club
2016 OPL Split 2,2,6173,Legacy Esports
2016 OPL Split 2,3,3086,Dire Wolves
2016 OPL Split 2,4,3086,Avant Garde
2016 LCL Spring Season,1,25575,Hard Random
2016 LCL Spring Season,2,17050,Team Empire
2016 LCL Spring Season,3,12787,Vega Squadron
2016 LCL Spring Season,4,8525,Natus Vincere CIS
2016 LCL Summer Season,1,23600,Albus Nox Luna
2016 LCL Summer Season,2,15730,Vega Squadron
2016 LCL Summer Season,3,11800,Natus Vincerer CIS
2016 LCL Summer Season,4,11800,RoX
