2016 World Championship,,Cloud9,NA
2016 NA LCS Spring Season,,Cloud9,NA
2016 NA LCS Summer Season,,Cloud9,NA
2016 World Championship,,Counter Logic Gaming,NA
2016 NA LCS Spring Season,,Counter Logic Gaming,NA
2016 NA LCS Summer Season,,Counter Logic Gaming,NA
2016 NA LCS Spring Season,,Echo Fox,NA
2016 NA LCS Summer Season,,Echo Fox,NA
2016 NA LCS Spring Season,,Immortals,NA
2016 NA LCS Summer Season,,Immortals,NA
2016 NA LCS Spring Season,,NRG Esports,NA
2016 NA LCS Summer Season,,NRG Esports,NA
2016 NA LCS Spring Season,,Renegades,NA
2016 NA LCS Spring Season,,Team Dignitas,NA
2016 NA LCS Spring Season,,Team Impulse,NA
2016 NA LCS Spring Season,,Team Liquid,NA
2016 NA LCS Summer Season,,Team Liquid,NA
2016 World Championship,,Team SoloMid,NA
2016 NA LCS Spring Season,,Team SoloMid,NA
2016 NA LCS Summer Season,,Team SoloMid,NA
2016 NA LCS Summer Season,,Apex Gaming,NA
2016 NA LCS Summer Season,,Phoenix1,NA
2016 NA LCS Summer Season,,Team EnVyUs,NA
2016 EU LCS Spring Season,,Elements,EU
2016 EU LCS Spring Season,,Fnatic,EU
2016 EU LCS Summer Season,,Fnatic,EU
2016 World Championship,,G2 Esports,EU
2016 EU LCS Spring Season,,G2 Esports,EU
2016 EU LCS Summer Season,,G2 Esports,EU
2016 EU LCS Spring Season,,Giants Gaming,EU
2016 EU LCS Summer Season,,Giants Gaming,EU
2016 World Championship,,H2k-Gaming,EU
2016 EU LCS Spring Season,,H2k-Gaming,EU
2016 EU LCS Summer Season,,H2k-Gaming,EU
2016 EU LCS Spring Season,,Origen,EU
2016 EU LCS Summer Season,,Origen,EU
2016 World Championship,,Splyce,EU
2016 EU LCS Spring Season,,Splyce,EU
2016 EU LCS Summer Season,,Splyce,EU
2016 EU LCS Spring Season,,Team ROCCAT,EU
2016 EU LCS Summer Season,,Team ROCCAT,EU
2016 EU LCS Spring Season,,Team Vitality,EU
2016 EU LCS Summer Season,,Team Vitality,EU
2016 EU LCS Spring Season,,Unicorns Of Love,EU
2016 EU LCS Summer Season,,Unicorns Of Love,EU
2016 EU LCS Summer Season,,FC Schalke 04,EU
2016 World Championship,,EDward Gaming,LPL
2016 LPL Spring Season,,EDward Gaming,LPL
2016 LPL Summer Season,,EDward Gaming,LPL
2016 LPL Spring Season,,Energy Pacemaker.All,LPL
2016 LPL Spring Season,,Hyper Youth Gaming,LPL
2016 LPL Spring Season,,Invictus Gaming,LPL
2016 LPL Summer Season,,Invictus Gaming,LPL
2016 LPL Spring Season,,LGD Gaming,LPL
2016 LPL Summer Season,,LGD Gaming,LPL
2016 LPL Spring Season,,Masters 3,LPL
2016 LPL Spring Season,,Oh My God,LPL
2016 LPL Summer Season,,Oh My God,LPL
2016 LPL Spring Season,,Qiao Gu Reapers,LPL
2016 World Championship,,Royal Never Give Up,LPL
2016 LPL Spring Season,,Royal Never Give Up,LPL
2016 LPL Summer Season,,Royal Never Give Up,LPL
2016 LPL Spring Season,,Snake Esports,LPL
2016 LPL Summer Season,,Snake Esports,LPL
2016 LPL Spring Season,,Team WE,LPL
2016 LPL Summer Season,,Team WE,LPL
2016 LPL Spring Season,,Vici Gaming,LPL
2016 LPL Summer Season,,Vici Gaming,LPL
2016 LPL Summer Season,,Game Talents,LPL
2016 World Championship,,I May,LPL
2016 LPL Summer Season,,I May,LPL
2016 LPL Summer Season,,Newbee,LPL
2016 LPL Summer Season,,Saint Gaming,LPL
2016 LCK Spring Season,,Afreeca Freecs,LCK
2016 LCK Summer Season,,Afreeca Freecs,LCK
2016 LCK Spring Season,,CJ Entus,LCK
2016 LCK Summer Season,,CJ Entus,LCK
2016 LCK Spring Season,,Jin Air Green Wings,LCK
2016 LCK Summer Season,,Jin Air Green Wings,LCK
2016 LCK Spring Season,,Kongdoo Monster,LCK
2016 LCK Spring Season,,KT Rolster,LCK
2016 LCK Summer Season,,KT Rolster,LCK
2016 LCK Spring Season,,Longzhu Gaming,LCK
2016 LCK Summer Season,,Longzhu Gaming,LCK
2016 World Championship,,ROX Tigers,LCK
2016 LCK Spring Season,,ROX Tigers,LCK
2016 LCK Summer Season,,ROX Tigers,LCK
2016 World Championship,,Samsung Galaxy,LCK
2016 LCK Spring Season,,Samsung Galaxy,LCK
2016 LCK Summer Season,,Samsung Galaxy,LCK
2016 LCK Spring Season,,SBENU Sonicboom,LCK
2016 World Championship,,SK Telecom T1,LCK
2016 LCK Spring Season,,SK Telecom T1,LCK
2016 LCK Summer Season,,SK Telecom T1,LCK
2016 LCK Summer Season,,ESC Ever,LCK
2016 LCK Summer Season,,MVP,LCK
2016 LMS Spring Season,,ahq e-Sports Club,LMS
2016 World Championship,,ahq e-Sports Club,LMS
2016 LMS Summer Season,,ahq e-Sports Club,LMS
2016 LMS Spring Season,,Cougar E-Sport,LMS
2016 LMS Spring Season,,eXtreme Gamers,LMS
2016 LMS Summer Season,,eXtreme Gamers,LMS
2016 LMS Spring Season,,Flash Wolves,LMS
2016 World Championship,,Flash Wolves,LMS
2016 LMS Summer Season,,Flash Wolves,LMS
2016 LMS Spring Season,,Hong Kong Esports,LMS
2016 LMS Summer Season,,Hong Kong Esports,LMS
2016 LMS Spring Season,,Machi E-Sports,LMS
2016 LMS Summer Season,,Machi E-Sports,LMS
2016 LMS Spring Season,,Midnight Sun Esports,LMS
2016 LMS Summer Season,,Midnight Sun Esports,LMS
2016 LMS Spring Season,,Taipei Assassins,LMS
2016 LMS Summer Season,,J Team,LMS
2016 LMS Summer Season,,Team Mist,LMS
2016 GPL Spring Season,,Bangkok Titans,GPL
2016 GPL Summer Season,,Bangkok Titans,GPL
2016 GPL Spring Season,,Imperium Pro Team,GPL
2016 GPL Spring Season,,Kanaya Gaming,GPL
2016 GPL Summer Season,,Kanaya Gaming,GPL
2016 GPL Spring Season,,Kuala Lumpur Hunters,GPL
2016 GPL Summer Season,,Kuala Lumpur Hunters,GPL
2016 GPL Spring Season,,Saigon Jokers,GPL
2016 GPL Summer Season,,Saigon Jokers,GPL
2016 GPL Spring Season,,Team Rigel,GPL
2016 GPL Summer Season,,Acclaim EmpireX,GPL
2016 GPL Summer Season,,Vestigial,GPL
2016 CBLOL Winter Season,,Big Gods,CBLOL
2016 CBLOL Summer Season,,CNB e-Sports Club,CBLOL
2016 CBLOL Winter Season,,CNB e-Sports Club,CBLOL
2016 CBLOL Summer Season,,INTZ e-Sports,CBLOL
2016 World Championship,,INTZ e-Sports,CBLOL
2016 CBLOL Winter Season,,INTZ e-Sports,CBLOL
2016 CBLOL Summer Season,,KaBuM! e-Sports,CBLOL
2016 CBLOL Winter Season,,KaBuM! e-Sports,CBLOL
2016 CBLOL Summer Season,,Keyd Stars,CBLOL
2016 CBLOL Winter Season,,Keyd Stars,CBLOL
2016 CBLOL Summer Season,,Operation Kino,CBLOL
2016 CBLOL Winter Season,,Operation Kino,CBLOL
2016 CBLOL Summer Season,,paiN Gaming,CBLOL
2016 CBLOL Winter Season,,paiN Gaming,CBLOL
2016 CBLOL Summer Season,,RED Canids,CBLOL
2016 CBLOL Winter Season,,RED Canids,CBLOL
2016 CBLOL Summer Season,,g3nerationX,CBLOL
2016 LAN Opening Cup,,Dash9 Gaming,LAN
2016 LAN Opening Cup,,Galactic Gamers,LAN
2016 LAN Closing Cup,,Galactic Gamers,LAN
2016 LAN Opening Cup,,Havoks Gaming,LAN
2016 LAN Opening Cup,,Lyon Gaming,LAN
2016 LAN Closing Cup,,Lyon Gaming,LAN
2016 LAN Opening Cup,,Revenge eSports,LAN
2016 LAN Closing Cup,,Revenge eSports,LAN
2016 LAN Opening Cup,,Tesla E-Sports,LAN
2016 LAN Closing Cup,,BrawL eSports,LAN
2016 LAN Closing Cup,,Just Toys Havoks,LAN
2016 LAN Closing Cup,,ZAGA Talent Gaming,LAN
2016 LAS Closing Cup,,Furious Gaming,LAS
2016 LAS Opening Cup,,Furious Gaming,LAS
2016 LAS Closing Cup,,Hafnet eSports,LAS
2016 LAS Opening Cup,,Hafnet eSports,LAS
2016 LAS Closing Cup,,Isurus Gaming,LAS
2016 LAS Opening Cup,,Isurus Gaming,LAS
2016 LAS Closing Cup,,Kaos Latin Gamers,LAS
2016 LAS Opening Cup,,Kaos Latin Gamers,LAS
2016 LAS Closing Cup,,Last Kings,LAS
2016 LAS Opening Cup,,Last Kings,LAS
2016 LAS Closing Cup,,Rebirth eSports,LAS
2016 LAS Opening Cup,,Rebirth eSports,LAS
2016 TCL Summer Season,,Beşiktaş.OH,TCL
2016 TCL Winter Season,,Beşiktaş.OH,TCL
2016 TCL Summer Season,,ÇİLEKLER,TCL
2016 TCL Winter Season,,ÇİLEKLER,TCL
2016 TCL Summer Season,,Dark Passage,TCL
