Emperor,Kim Jin-hyun (김진현),AD,South Korea
Hybrid,Glenn Doornenbal,Support,Netherlands
YoungBuck,Joey Steltenpool,Coach,Netherlands
Atom (Peter Thomsen),Peter Thomsen,Top,Denmark
K0u,Tinh Tri Lam,Jungle,Norway
BetongJocke,Joachim Rasmussen,Jungle,Sweden
Wisdom,Kim Tae-wan (김태완),Jungle,South Korea
XPePii,Isaac Flores,Mid,Spain
Adryh,Adrián Pérez,AD,Spain
S0NSTAR,Son Seung-ik (손승익),AD,South Korea
G0DFRED,Oskar Lundström,Support,Sweden
Hustlin,Morgan Granberg,Support,Sweden
Lozark,David Alonso Vicente,Coach,Spain
Odoamne,Andrei Pascu,Top,Romania
Jankos,Marcin Jankowski,Jungle,Poland
Ryu,Yoo Sang-wook (유상욱),Mid,South Korea
Selfie,Marcin Wolski,Mid,Poland
FORG1VEN,Konstantinos Tzortziou,AD,Greece
VandeR,Oskar Bogdan,Support,Poland
Pr0lly,Neil Hammad,Coach,USA
SOAZ,Paul Boyer,Top,France
Amazing (Maurice Stückenschneider),Maurice Stückenschneider,Jungle,Germany
PowerOfEvil,Tristan Schrage,Mid,Germany
Zven,Jesper Svenningsen,AD,Denmark
Mithy,Alfonso Aguirre Rodríguez,Support,Spain
Hazel,Nicolai Larsen,Coach,Denmark
XPeke,Enrique Cedeño Martínez,Coach,Spain
Bali,Ana Negueruela,Coach,Spain
Wunderwear,Martin Hansen,Top,Denmark
Trashy,Jonas Andersen,Jungle,Denmark
Sencux,Chres Laursen,Mid,Denmark
Kobbe,Kasper Kobberup,AD,Denmark
Nisbeth,Nicolai Nisbeth,Support,Denmark
YamatoCannon,Jakob Mebdi,Coach,Sweden
Fredy122,Simon Payne,Top,United Kingdom
Airwaks,Karim Benghalia,Jungle,Switzerland
Betsy,Felix Edling,Mid,Malaysia
Safir,Karim Tokhi,AD,Afghanistan
Tabzz,Erik van Helvert,AD,Netherlands
Edward,Edward Abgaryan,Support,Armenia
Extinkt,Vytautas Mėlinauskas,Support,Lithuania
ImSoFresh,Karim Bbahla,Coach,Belgium
GrabbZ,Fabian Lohmann,Coach,Germany
Cabochard,Lucas Simon-Meslet,Top,France
Shook,Ilyas Hartsema,Jungle,Netherlands
Nukeduck,Erlend Våtevik Holm,Mid,Norway
Hjärnan,Petter Freyschuss,AD,Sweden
KaSing,Raymond Tsang,Support,United Kingdom
Shaunz,Kévin Ghanbarzadeh,Coach,France
Vizicsacsi,Kiss Tamás,Top,Hungary
Diamondprox,Danil Reshetnikov,Jungle,Russia
Djoko,Charly Guillard,Jungle,France
Rudy,Rudy Beltran,Jungle,Sweden
Loulex,Jean-Victor Burgevin,Jungle,France
Fox,Hampus Myhre,Mid,Sweden
Steeelback,Pierre Medjaldi,AD,France
Hylissang,Zdravets Galabov,Support,Bulgaria
Sheepy,Fabian Mallant,Coach,Germany
Werlyb,Jorge Casanovas,Top,Spain
Expect,Ki Dae-han (기대한),Top,South Korea
Maxlore,Nubar Sarafian,Jungle,United Kingdom
NighT,Na Gun-woo (나건우),Mid,South Korea
Toaster,Augustas Ruplys,AD,Lithuania
NicoThePico,Nicholas Korsgaard,Coach,Norway
Araneae,Alvar Martín Aleñar,Coach,Spain
Wunder,Martin Hansen,Top,Denmark
Mikyx,Mihael Mehle,Support,Slovenia
Parang,Lee Sang-won (이상원),Top,South Korea
Memento,Jonas Elmarghichi,Jungle,Sweden
Raise,Oh Ji-hwan (오지환),Support,South Korea
Mightybear,Kim Min-su (김민수),Jungle,South Korea
Police,Park Hyeong-gi (박형기),AD,South Korea
Reje,Victor Etlar Eriksen,AD,Denmark
Move,Kang Min-su (강민수),Jungle,South Korea
Exileh,Fabian Schubert,Mid,Germany
Veritas,Kim Kyoung-min (김경민),AD,South Korea
Koro1,Tong Yang (童扬),Top,China
Fireloli,Zhao Zhi-Ming (赵志铭),Jungle,China
Clearlove,Ming Kai (明凯),Jungle,China
Athena,Kang Ha-woon (강하운),Mid,South Korea
PawN,Heo Won-seok (허원석),Mid,South Korea
Deft,Kim Hyuk-kyu (김혁규),AD,South Korea
Meiko,Tian Ye (田野),Support,China
GimGoon,Kim Han-saem (김한샘),Top,South Korea
Rabbit97,He Zhi-Hong (何志鸿),Jungle,China
Crisis,Huang Zhen (黄震),Jungle,China
Republic,Bong Geun-tae (봉근태),Mid,South Korea
Romantic,Zhang Cheng (张成),AD,China
Moon (Gu-Yue Ze-Yu),Gu-Yue Ze-Yu (古月泽宇),AD,China
JieZou,Xia Heng (夏衡),Support,China
Soul (Zhou Feng),Zhou Feng (周枫),Support,China
17,Xu Zhao (徐曌),Top,China
March,Ye Jia-Bin (叶加滨),Jungle,China
Chimin,Kim Gyeong-min (김경민),Jungle,South Korea
Gosu,Sin Hyeok (신혁),Mid,South Korea
XQ,Li Ying-Jie (李英杰),AD,China
X1u,Yu Jie (余捷),Support,China
Zz1tai,Liu Zhi-Hao (刘志豪),Top,China
Kid,Ge Yan (葛炎),Jungle,China
RooKie,Song Eui-jin (송의진),Mid,South Korea
Time,Tang Jin-Tai (唐靖泰),AD,China
Rain (An Hyeong-uk),An Hyeong-uk,AD,South Korea
Kitties,Liu Hong-Jun (刘洪均),Support,China
MaRin,Jang Gyeong-hwan (장경환),Top,South Korea
Acorn,Choi Cheon-ju (최천주),Top,South Korea
Eimy,Xie Dan (谢丹),Jungle,China
Xiaoxi,Wei Li-Sheng (李盛维),Jungle,China
Yu,Li Xin-Nan (李鑫男),Jungle,China
We1less,Wei Zhen (韦朕),Mid,China
Imp,Gu Seung-bin (구승빈),AD,South Korea
Pyl,Chen Bo (陈博),Support,China
XY,Feng Yu-Xin (冯玉鑫),Top,China
Lazarus,Seong Sang-hyeon (성상현),Top,South Korea
Yolo,Jang Hyeon-su (장현수),Jungle,South Korea
Scenery,Yan Hong (颜宏),Jungle,China
Raphael,Ko Jae-hyun (고재현),Mid,South Korea
PentaQ,Xu Ming-Shu (徐铭枢),AD,China
Savoki,Jin Hao (金灏),Support,China
City,He Wei (贺维),Support,China
Dark,Yang Ju-Bao (杨聚宝),Top,China
Xiyang,Hu Bin (胡彬),Top,China
FishBall,Wang Yu (王宇),Jungle,China
Quan,Zhu Yong-Quan (朱永权),Jungle,China
Cool,Yu Jia-Jun (余家俊),Mid,China
Icon,Xie Tian-Yu (谢天宇),Mid,China
S1mLz,Han Jin (韩金),AD,China
Bei,Zhang Yu-Ze (张雨泽),AD,China
5,Liu Shi-Yu (刘时雨),Support,China
Luo (Luo Ci-rui),Luo Ci-Rui (罗词锐),Support,China
V,Bao Bo (鮑波),Top,China
Swift,Baek Da-hoon (백다훈),Jungle,South Korea
Doinb,Kim Tae-sang (김태상),Mid,South Korea
BoriSal,Kim Yeong-hoon (김영훈),Mid,South Korea
Mortred,Huang Zi-Kun (黄子坤),Mid,China
Peco,Yu Rui (喻瑞),AD,China
Uzi (Jian Zi-Hao),Jian Zi-Hao (简自豪),AD,China
Mor,Zhang Hong-Wei (张洪伟),Support,China
Looper,Jang Hyeong-seok (장형석),Top,South Korea
LetMe,Yan Jun-Ze (严君泽),Top,China
Mlxg,Liu Shi-Yu (刘世宇),Jungle,China
InSec,Choi In-seok (최인석),Jungle,South Korea
Xiaohu,Li Yuan-Hao (李元浩),Mid,China
Sask,Zhou Yi-Xiang (周翼翔),Mid,China
Wuxx,Wang Cheng (王城),AD,China
NaMei,Zhu Jia-Wen (朱佳文),AD,China
Mata,Cho Se-hyoung (조세형),Support,South Korea
LeY,Le Yi (乐毅),Support,China
Flandre,Li Xuan-Jun (李炫君),Top,China
ZZR,Zeng Zhan-Ran (曾湛然),Jungle,China
TANK,Park Dan-won (박단원),Mid,South Korea
Martin (Tan Qi),Tan Qi (谭琦),AD,China
KRYST4L,Yang Fan (杨藩),AD,China
Ella,Kwak Na-hoon (곽나훈),Support,South Korea
957,Ke Chang-Yu (柯昌宇),Top,China
Condi,Xiang Ren-Jie (向人杰),Jungle,China
Xiye,Su Han-Wei (苏汉伟),Mid,China
Mystic,Jin Seong-jun (진성준),AD,South Korea
Zero (Yoon Kyung-sup),Yoon Kyung-sup (윤경섭),Support,South Korea
Loong,Zhu Xiao-Long (朱小龙),Top,China
DanDy,Choi In-kyu (최인규),Jungle,South Korea
Easyhoon,Lee Ji-hoon (이지훈),Mid,South Korea
Endless,Xu Hao (许昊),AD,China
CaveMan,Duan De-Liang (段德良),Support,China
Mouse,Chen Yu-Hao (陈宇浩),Top,China
Scout,Lee Ye-chan (이예찬),Mid,South Korea
WuShuang,Wang Hai-Li (王海郦),Jungle,China
AmazingJ,Shek Wai Ho (石偉豪),Top,Hong Kong
Avoidless,Fan Jun Wei (范俊偉),Jungle,Hong Kong
Mitty,Zhao Zhi-Ming (赵志铭),Jungle,China
Baeme,Kang Yang-hyun (강양현),Mid,South Korea
Jinjiao,Xie Jin-Shan (谢金山),AD,China
Road,Yun Han-gil (윤한길),Support,South Korea
Save,Baek Young-jin (백영진),Top,South Korea
Rookie,Song Eui-jin (송의진),Mid,South Korea
Marge,Feng Li (冯磊),AD,China
Tabe,Wong Pak Kan (王柏勤),Support,Hong Kong
Ben,Nam Dong-hyun (남동현),Support,South Korea
Baolan,Wang Liu-Yi (王柳羿),Support,China
Jinoo,Lim Jin-woo (임진우),Top,South Korea
1ntruder,Tang Sheng (唐圣),Jungle,China
Punished,Li Yuan-Hui (李元辉),Mid,China
Dade,Bae Eo-jin (배어진),Mid,South Korea
HappyY,Yu Rui (喻瑞),AD,China
MorZB,Zhang Hong-Wei (张洪伟),Support,China
Memory,Yang Ju-Bao (杨聚宝),Top,China
World6,Chen Yu-Tian (陈裕添),Jungle,China
Juejue,Yan Hong (颜宏),Jungle,China
Smlz,Han Jin (韩金),AD,China
Captain (Sun Yu-Ze),Sun Yu-Ze (孙羽泽),Jungle,China
Snoopy (Yang Yo-myong),Yang Yo-myong (양요명),Mid,South Korea
Otto,Hou Guo-Yu (侯国玉),Mid,China
Styz,Qu Zi-Liang (屈梓良),AD,China
Maidong,Tang Huang-Chao (唐黄超),Support,China
SofM,Lê Quang Duy,Jungle,Vietnam
Jiezou,Xia Heng (夏衡),Support,China
Dandy,Choi In-kyu (최인규),Jungle,South Korea
XuanXuanPi,Pi Xiao-Xuan (皮孝轩,AD,China
Ikssu,Jeon Ik-soo (전익수),Top,South Korea
LirA,Nam Tae-yoo (남태유),Jungle,South Korea
Mickey,Son Young-min (손영민),Mid,South Korea
Sangyoon,Gwon Sang-yun (권상윤),AD,South Korea
SnowFlower,No Hoi-jong (노회종),Support,South Korea
Untara,Park Ui-jin (박의진),Top,South Korea
Bubbling,Park Jun-hyeong (박준형),Jungle,South Korea
Sky (Kim Ha-neul),Kim Ha-neul (김하늘),Mid,South Korea
Bdd,Gwak Bo-seong (곽보성),Mid,South Korea
Kramer,Ha Jong-hun (하종훈),AD,South Korea
MadLife,Hong Min-gi (홍민기),Support,South Korea
TrAce,Yeo Chang-dong (여창동),Top,South Korea
SoHwan,Kim Jun-yeong (김준영),Top,South Korea
Winged,Park Tae-jin (박태진),Jungle,South Korea
Kuzan,Lee Seong-hyeok (이성혁),Mid,South Korea
Pilot,Na Woo-hyung (나우형),AD,South Korea
Chei,Choi Sun-ho (최선호),Support,South Korea
Hipo,Suk Hyun-jun (석현준),Top,South Korea
Roach,Kim Kang-hui (김강희),Top,South Korea
Crush,Kim Jun-seo (김준서),Jungle,South Korea
Edge,Lee Ho-seong (이호성),Mid,South Korea
SSol,Seo Jin-sol (서진솔),AD,South Korea
GuGer,Kim Do-yeop (김도엽),Support,South Korea
Ssumday,Kim Chan-ho (김찬호),Top,South Korea
Score,Go Dong-bin (고동빈),Jungle,South Korea
Fly (Song Yong-jun),Song Yong-jun (송용준),Mid,South Korea
Arrow,Noh Dong-hyeon (노동현),AD,South Korea
Hachani,Ha Seung-chan (하승찬),Support,South Korea
IgNar,Lee Dong-geun (이동근),Support,South Korea
Expession,Koo Bon-taek (구본택),Top,South Korea
Flame,Lee Ho-jong (이호종),Top,South Korea
Chaser,Lee Sang-hyun (이상현),Jungle,South Korea
Crash,Lee Dong-woo (이동우),Jungle,South Korea
Coco,Shin Jin-yeong (신진영),Mid,South Korea
Frozen,Kim Tae-il (김태일),Mid,South Korea
Cpt Jack,Kang Hyung-woo (강형우),AD,South Korea
Fury (Lee Jin-yong),Lee Jin-yong (이진용),AD,South Korea
Pure,Kim Jin-sun (김진선),Support,South Korea
Zzus,Jang Joon-soo (장준수),Support,South Korea
Smeb,Song Kyung-ho (송경호),Top,South Korea
Peanut,Yoon Wang-ho (윤왕호),Jungle,South Korea
Kuro,Lee Seo-haeng (이서행),Mid,South Korea
PraY,Kim Jong-in (김종인),AD,South Korea
GorillA,Kang Beom-hyeon (강범현),Support,South Korea
CuVee,Lee Seong-jin (이성진),Top,South Korea
Ambition,Kang Chan-yong (강찬용),Jungle,South Korea
Crown,Lee Min-ho (이민호),Mid,South Korea
CoreJJ,Jo Yong-in (조용인),AD,South Korea
Stitch,Lee Seung-ju (이승주),AD,South Korea
Wraith,Kwon Ji-min (권지민),Support,South Korea
SoaR,Lee Gang-pyo (이강표),Top,South Korea
Soul (Seo Hyeon-seok),Seo Hyeon-seok (서현석),Top,South Korea
Flawless,Sung Yeon-jun (성연준),Jungle,South Korea
SaSin,Oh Seung-ju (오y주),Mid,South Korea
Nuclear,Sin Jeong-hyeon (신정현),AD,South Korea
Secret,Park Ki-sun (박기선),Support,South Korea
Duke,Lee Ho-seong (이호성),Top,South Korea
Bengi,Bae Seong-woong (배성웅),Jungle,South Korea
Blank,Kang Sun-gu (강선구),Jungle,South Korea
Faker,Lee Sang-hyeok (이상혁),Mid,South Korea
Bang,Bae Jun-sik (배준식),AD,South Korea
Wolf (Lee Jae-wan),Lee Jae-wan (이재완),Support,South Korea
Lindarang,Heo Man-heung (허만흥),Top,South Korea
SeongHwan,Yoon Seong-hwan (윤성환),Jungle,South Korea
Shy,Park Sang-myeon (박상면),Top,South Korea
Haru,Kang Min-seung (강민승),Jungle,South Korea
Ghost (Jang Yong-jun),Jang Yong-jun (장용준),AD,South Korea
Crazy,Kim Jae-hee (김재희),Top,South Korea
Firetrap,Jin Jae-seung (진재승),Top,South Korea
Bless,Choi Hyeon-woong (최현웅),Jungle,South Korea
Tempt,Kang Myung-gu (강명구),Mid,South Korea
LokeN,Lee Dong-wook (이동욱),AD,South Korea
Key,Kim Han-gi (김한기),Support,South Korea
Totoro,Eun Jong-seop (은종섭),Support,South Korea
Blanc,Jin Seong-min (진성민),Mid,South Korea
Sweet (Lee Eun-teak),Lee Eun-teak (이은택),Support,South Korea
ADD,Kang Geon-mo (강건모),Top,South Korea
Beyond (Kim Kyu-seok),Kim Kyu-seok (김규석),Jungle,South Korea
Ian,An Jun-hyeong (안준형),Mid,South Korea
MaHa,Oh Hyun-sik (오현식),AD,South Korea
Max (Jeong Jong-bin),Jeong Jong-bin (정종빈),Support,South Korea
Cry,Hae Sung-min (해성민),Mid,South Korea
Helper,Kwon Yeong-jae (권영재),Top,South Korea
Ruler,Park Jae-hyuk (박재혁),AD,South Korea
Ziv (Chen Yi),Chen Yi (陳奕),Top,Taiwan
Mountain,Xue Zhao-Hong (薛兆鴻),Jungle,Taiwan
Chawy,Wong Xing-Lei (黃心磊),Mid,Singapore
Westdoor,Liu Shu-Wei (劉書瑋),Mid,Taiwan
AN,Chou Chun-An (周俊諳),AD,Taiwan
RD,Liang Teng-Li (梁騰勵),AD,Taiwan
Albis,Kang Chia-Wei (康家維),Support,Taiwan
AJ,Chen Yen-Chun (陳諺均),Top,Taiwan
XUE,Xue Bo-Yun (薛博允),Top,Taiwan
Syuan,Chang Jen-Pu (張仁菩),Top,Taiwan
SpeaR,Chen Yi-Chung (陳奕中),Jungle,Taiwan
KuKu,Lam Ka Fu (林家富),Mid,Macao
Rabi2,Su Chien-Wen (蘇建文),AD,Taiwan
Never,Shih Hung-Yu (施竤宇),Support,Taiwan
CandyBB,Liu Shih-Chieh (劉世喆),Support,Taiwan
Melon (Tsai Tsung-Yu),Tsai Tsung-Yu (蔡宗祐),Support,Taiwan
Exciting,Chang Po-Hao (張博皓),Top,Taiwan
Nexus (Tung Tung),Dong Tong (董童),Top,Hong Kong
Yo,Fan Chih-Wei (范植威),Jungle,Taiwan
SuwaKo,Tsou Wei-Yang (鄒惟洋),Mid,Taiwan
LBB,Liu Ping-Hsin (劉秉鑫),AD,Taiwan
Suki,Hsieh Ming-Hsuan (謝名軒),Support,Taiwan
